50
36.80194	10.161553	26.0	0.61	0.39	
36.80876	10.134898	82.0	0.91	0.08	
36.823555	10.122703	26.0	0.98	0.01	
36.765915	10.190272	42.0	0.37	0.63	
36.782925	10.145574	33.0	0.27	0.73	
36.80593	10.193942	95.0	0.75	0.25	
36.745274	10.14368	69.0	0.99	0.0	
36.81542	10.166831	115.0	0.54	0.45	
36.830025	10.129333	25.0	0.34	0.66	
36.829475	10.15016	5.0	0.61	0.39	
36.7584	10.157656	94.0	0.98	0.01	
36.817028	10.151753	18.0	0.22	0.78	
36.776737	10.183356	13.0	0.65	0.35	
36.799397	10.158075	75.0	0.15	0.85	
36.794243	10.173377	3.0	0.32	0.68	
36.810467	10.179837	99.0	0.01	0.99	
36.81392	10.133676	25.0	0.98	0.01	
36.76079	10.155414	84.0	0.64	0.36	
36.828426	10.125917	119.0	0.41	0.59	
36.82515	10.135065	5.0	0.39	0.61	
36.798893	10.189977	37.0	0.76	0.24	
36.833252	10.190349	9.0	0.21	0.79	
36.833908	10.150696	14.0	0.23	0.77	
36.80677	10.136885	86.0	0.23	0.77	
36.83846	10.132442	1.0	0.69	0.31	
36.752247	10.14501	57.0	0.55	0.45	
36.80811	10.152584	53.0	0.11	0.89	
36.789192	10.161646	91.0	0.9	0.1	
36.80239	10.135071	112.0	0.24	0.76	
36.76534	10.138058	74.0	0.43	0.57	
36.743233	10.157899	68.0	0.46	0.53	
36.786957	10.19201	87.0	0.34	0.66	
36.74914	10.163303	111.0	0.78	0.22	
36.77111	10.18913	71.0	0.02	0.98	
36.833977	10.157111	45.0	0.17	0.83	
36.80887	10.12715	32.0	0.75	0.25	
36.770317	10.183762	76.0	0.15	0.85	
36.81374	10.147993	74.0	0.56	0.44	
36.74171	10.166071	100.0	0.79	0.2	
36.818012	10.146542	23.0	0.11	0.89	
36.785614	10.163917	81.0	0.74	0.26	
36.771076	10.191189	8.0	0.62	0.38	
36.75931	10.133567	70.0	0.62	0.38	
36.788612	10.160178	54.0	0.7	0.3	
36.74485	10.13949	112.0	0.8	0.19	
36.799107	10.129002	34.0	0.5	0.5	
36.745804	10.14303	84.0	0.34	0.66	
36.835114	10.197992	25.0	0.98	0.01	
36.818695	10.1674185	78.0	0.82	0.18	
36.82074	10.185555	8.0	0.82	0.18	
